.	PUNCT	.
ⲃⲓⲃⲗⲓⲟⲑⲩⲕⲏ	N	ⲃⲓⲃⲗⲓⲟⲑⲩⲕⲏ
ⲃⲓⲃⲗⲟⲥ	N	ⲃⲓⲃⲗⲟⲥ
ⲃⲓⲏⲭⲓ	N	ⲃⲓⲏⲭⲓ
ⲃⲓⲕⲁⲣⲓⲟⲥ	N	ⲃⲓⲕⲁⲣⲓⲟⲥ
ⲃⲓⲕⲓ	N	ⲃⲓⲕⲓ
ⲃⲓⲕⲧⲱⲣ	NPROP	ⲃⲓⲕⲧⲱⲣ
ⲃⲓⲛⲁϫ	N	ⲃⲓⲛⲁϫ
ⲃⲓⲛⲓ	N	ⲃⲓⲛⲓ
ⲃⲓⲟⲥ	N	ⲃⲓⲟⲥ
ⲃⲓⲣ	N	ⲃⲓⲣ
ⲃⲓⲥⲓ	V	ⲟⲩⲓⲥⲓ
ⲃⲓⲱⲧⲓⲕⲟⲛ	N	ⲃⲓⲱⲧⲓⲕⲟⲛ
ⲃⲓⲱⲧⲓⲕⲟⲥ	N	ⲃⲓⲱⲧⲓⲕⲟⲥ
ⲃⲗⲁ	N	ⲃⲗⲁ
ⲃⲗⲁⲃⲏ	N	ⲃⲗⲁⲃⲏ
ⲃⲗⲁⲡⲧⲉⲓ	V	ⲃⲗⲁⲡⲧⲉⲓ
ⲃⲗⲁⲥⲫⲏⲙⲓⲁ	N	ⲃⲗⲁⲥⲫⲏⲙⲓⲁ
ⲃⲟϣⲃⲉϣ	V	ⲟⲩⲟϣⲟⲩⲉϣ
ⲃⲟϥ	N	ⲃⲟϥ
ⲃⲟϩ	N	ⲃⲱⲱϩ
ⲃⲟϩⲓ	N	ⲃⲟϩⲓ
ⲃⲟϩⲓ	N	ⲟⲩⲟϩⲓ
ⲃⲟϯ	N	ⲃⲱϯ
ⲃⲟϯ	V	ⲃⲟϯ
ⲃⲟⲁⲛⲏⲣⲅⲉⲥ	N	ⲃⲟⲁⲛⲏⲣⲅⲉⲥ
ⲃⲟⲁⲛⲏⲣⲅⲉⲥ	NPROP	ⲃⲟⲁⲛⲏⲣⲅⲉⲥ
ⲃⲟⲉⲥ	NPROP	ⲃⲟⲉⲥ
ⲃⲟⲏⲑⲉⲓ	N	ⲃⲟⲏⲑⲉⲓ
ⲃⲟⲏⲑⲉⲓ	V	ⲃⲟⲏⲑⲉⲓ
ⲃⲟⲏⲑⲉⲓⲁ	N	ⲃⲟⲏⲑⲉⲓⲁ
ⲃⲟⲏⲑⲓⲁ	N	ⲃⲟⲏⲑⲓⲁ
ⲃⲟⲏⲑⲟⲥ	N	ⲃⲟⲏⲑⲟⲥ
ⲃⲟⲓϣⲓ	N	ⲃⲟⲓϣⲓ
ⲃⲟⲕⲓ	V	ⲃⲟⲕⲓ
ⲃⲟⲗ	N	ⲃⲟⲗ
ⲃⲟⲗ	V	ⲃⲱⲗ
ⲃⲟⲗⲥ	VSTAT	ⲟⲩⲱⲗⲥ
ⲃⲟⲙⲱⲥ	N	ⲃⲟⲙⲱⲥ
ⲃⲟⲛϯ	N	ⲃⲟⲛϯ
ⲃⲟⲣⲃⲉⲣ	V	ⲃⲟⲣⲃⲉⲣ
ⲃⲟⲣⲃⲟⲣⲟⲥ	N	ⲃⲟⲣⲃⲟⲣⲟⲥ
ⲃⲟⲥⲉⲣ	N	ⲟⲩⲟⲥⲉⲣ
ⲃⲟⲧ	V	ⲃⲟϯ
ⲃⲟⲧ	V	ⲟⲩⲱϯ
ⲃⲟⲧⲁⲛⲏ	N	ⲃⲟⲧⲁⲛⲏ
ⲃⲟⲩϩⲓ	N	ⲃⲟⲩϩⲓ
ⲃⲟⲩⲗⲉⲩⲧⲏⲥ	N	ⲃⲟⲩⲗⲉⲩⲧⲏⲥ
ⲃⲟⲩⲗⲏⲥⲓⲥ	N	ⲃⲟⲩⲗⲏⲥⲓⲥ
ⲃⲟⲩⲛⲉⲩⲣⲟⲛ	N	ⲃⲟⲩⲛⲉⲩⲣⲟⲛ
ⲃⲟⲩⲛⲟⲥ	N	ⲃⲟⲩⲛⲟⲥ
ⲃⲣⲁⲃⲓⲟⲛ	N	ⲃⲣⲁⲃⲓⲟⲛ
ⲃⲣⲁⲓ	N	ⲃⲣⲁⲓ
ⲃⲣⲁⲭⲙⲁⲛⲏⲥ	N	ⲃⲣⲁⲭⲙⲁⲛⲏⲥ
ⲃⲣⲉϩⲓ	N	ⲉⲙⲣⲉϩⲓ
ⲃⲣⲉϩⲓ	N	ⲙⲃⲣⲉϩⲓ
ⲃⲣⲟⲛⲧⲏ	N	ⲃⲣⲟⲛⲧⲏ
ⲃⲣⲟⲩⲭⲟⲥ	N	ⲃⲣⲟⲩⲭⲟⲥ
ⲃⲩⲃⲓⲟⲛ	N	ⲃⲩⲃⲓⲟⲛ
ⲃⲩⲏⲕⲓ	N	ⲃⲓⲏⲭⲓ
ⲃⲩⲏⲭⲓ	N	ⲃⲓⲏⲭⲓ
ⲃⲩⲣⲣⲩⲗⲗⲟⲥ	N	ⲃⲩⲣⲣⲩⲗⲗⲟⲥ
ⲃⲭⲏⲓ	N	ⲃⲓⲏⲭⲓ
ⲃⲱ	N	ⲃⲱ
ⲃⲱϣ	N	ⲟⲩⲱϣ
ⲃⲱϣ	V	ⲃⲱϣ
ⲃⲱϩⲉⲙ	V	ⲟⲩⲱϩⲉⲙ
ⲃⲱϩⲛ	V	ⲃⲱϩⲛ
ⲃⲱϫ	V	ⲟⲩⲱϫ
ⲃⲱϯ	N	ⲃⲱϯ
ⲃⲱⲕ	N	ⲃⲱⲕ
ⲃⲱⲕ	V	ⲃⲱⲕ
ⲃⲱⲕⲓ	N	ⲃⲱⲕⲓ
ⲃⲱⲗ	V	ⲃⲱⲗ
ⲃⲱⲗⲟⲥ	N	ⲃⲱⲗⲟⲥ
ⲃⲱⲙⲟⲥ	N	ⲃⲱⲙⲟⲥ
ⲃⲱⲟⲩ	N	ⲃⲱⲟⲩ
ⲃⲱⲣⲡ	V	ⲟⲩⲱⲣⲡ
ⲃⲱⲥⲧ	V	ⲃⲱⲥⲧ
ⲃⲱⲱϩ	N	ⲃⲱⲱϩ
ⲅⲁⲃⲣⲓⲏⲗ	NPROP	ⲅⲁⲃⲣⲓⲏⲗ
ⲅⲁⲍⲁ	N	ⲅⲁⲍⲁ
ⲅⲁⲍⲟⲫⲩⲗⲁⲕⲓⲟⲛ	N	ⲅⲁⲍⲟⲫⲩⲗⲁⲕⲓⲟⲛ
ⲅⲁⲓⲟⲥ	NPROP	ⲅⲁⲓⲟⲥ
ⲅⲁⲗⲁⲕⲧⲓⲧⲏⲥ	N	ⲅⲁⲗⲁⲕⲧⲓⲧⲏⲥ
ⲅⲁⲗⲁⲧⲓⲁ	NPROP	ⲅⲁⲗⲁⲧⲓⲁ
ⲅⲁⲗⲓⲗⲁⲓⲁ	NPROP	ⲅⲁⲗⲓⲗⲁⲓⲁ
ⲅⲁⲗⲓⲗⲁⲓⲟⲥ	N	ⲅⲁⲗⲓⲗⲁⲓⲟⲥ
ⲅⲁⲗⲓⲗⲉⲁ	NPROP	ⲅⲁⲗⲓⲗⲉⲁ
ⲅⲁⲗⲗⲓⲕⲟⲥ	N	ⲅⲁⲗⲗⲓⲕⲟⲥ
ⲅⲁⲙⲟⲥ	N	ⲅⲁⲙⲟⲥ
ⲅⲁⲡⲁⲣⲓ	N	ⲅⲁⲡⲁⲣⲓ
ⲅⲁⲣ	PTC	ⲅⲁⲣ
ⲅⲉ	FM	ⲅⲉ
ⲅⲉ	PTC	ⲅⲉ
ⲅⲉϩⲉⲛⲛⲁ	N	ⲅⲉϩⲉⲛⲛⲁ
ⲅⲉϩⲉⲛⲛⲁ	NPROP	ⲅⲉϩⲉⲛⲛⲁ
ⲅⲉⲑⲑⲁⲓⲟⲥ	N	ⲅⲉⲑⲑⲁⲓⲟⲥ
ⲅⲉⲑⲥⲏⲙⲁⲛⲉⲓ	N	ⲅⲉⲑⲥⲏⲙⲁⲛⲉⲓ
ⲅⲉⲛⲉⲁ	N	ⲅⲉⲛⲉⲁ
ⲅⲉⲛⲉⲥⲓⲥ	N	ⲅⲉⲛⲉⲥⲓⲥ
ⲅⲉⲛⲏⲙⲁ	N	ⲅⲉⲛⲏⲙⲁ
ⲅⲉⲛⲏⲧⲟⲛ	N	ⲅⲉⲛⲏⲧⲟⲛ
ⲅⲉⲛⲓⲕⲟⲥ	N	ⲅⲉⲛⲓⲕⲟⲥ
ⲅⲉⲛⲛⲁⲓⲟⲥ	N	ⲅⲉⲛⲛⲁⲓⲟⲥ
ⲅⲉⲛⲛⲉⲁ	N	ⲅⲉⲛⲛⲉⲁ
ⲅⲉⲛⲛⲉⲟⲥ	N	ⲅⲉⲛⲛⲉⲟⲥ
ⲅⲉⲛⲛⲏⲥⲁⲣⲉⲧ	N	ⲅⲉⲛⲛⲏⲥⲁⲣⲉⲧ
ⲅⲉⲛⲟⲓⲧⲟ	V	ⲅⲉⲛⲟⲓⲧⲟ
ⲅⲉⲛⲟⲥ	N	ⲅⲉⲛⲟⲥ
ⲅⲉⲣⲁⲍⲏⲛⲟⲥ	N	ⲅⲉⲣⲁⲍⲏⲛⲟⲥ
ⲅⲉⲣⲁⲥⲏⲛⲟⲥ	N	ⲅⲉⲣⲁⲥⲏⲛⲟⲥ
ⲅⲉⲣⲅⲉⲥⲁⲓⲟⲥ	N	ⲅⲉⲣⲅⲉⲥⲁⲓⲟⲥ
ⲅⲉⲱⲙⲓⲧⲣⲏⲥ	N	ⲅⲉⲱⲙⲓⲧⲣⲏⲥ
ⲅⲉⲱⲣⲅⲟⲥ	N	ⲅⲉⲱⲣⲅⲟⲥ
ⲅⲓⲅⲁⲥ	N	ⲅⲓⲅⲁⲥ
ⲅⲗⲩⲡⲧⲟⲛ	N	ⲅⲗⲩⲡⲧⲟⲛ
ⲅⲗⲱⲥⲥⲟⲕⲟⲙⲟⲛ	N	ⲅⲗⲱⲥⲥⲟⲕⲟⲙⲟⲛ
ⲅⲛⲏⲥⲓⲟⲥ	N	ⲅⲛⲏⲥⲓⲟⲥ
ⲅⲛⲟⲫⲟⲥ	N	ⲅⲛⲟⲫⲟⲥ
ⲅⲛⲱⲙⲏ	N	ⲅⲛⲱⲙⲏ
ⲅⲛⲱⲥⲉⲱⲥ	N	ⲅⲛⲱⲥⲉⲱⲥ
ⲅⲛⲱⲥⲓⲥ	N	ⲅⲛⲱⲥⲓⲥ
ⲅⲟⲗⲅⲟⲑⲁ	NPROP	ⲅⲟⲗⲅⲟⲑⲁ
ⲅⲣⲁⲙⲙⲁ	N	ⲅⲣⲁⲙⲙⲁ
ⲅⲣⲁⲙⲙⲁⲧⲉⲩⲥ	N	ⲅⲣⲁⲙⲙⲁⲧⲉⲩⲥ
ⲅⲣⲁⲙⲙⲁⲧⲏⲫⲟⲣⲟⲥ	N	ⲅⲣⲁⲙⲙⲁⲧⲏⲫⲟⲣⲟⲥ
ⲅⲣⲁⲙⲙⲁⲧⲓⲕⲟⲥ	N	ⲅⲣⲁⲙⲙⲁⲧⲓⲕⲟⲥ
ⲅⲣⲁⲙⲡⲉ	N	ⲅⲣⲁⲙⲡⲉ
ⲅⲣⲁⲫⲉⲩⲥ	N	ⲅⲣⲁⲫⲉⲩⲥ
ⲅⲣⲁⲫⲏ	N	ⲅⲣⲁⲫⲏ
ⲅⲣⲁⲫⲟⲟⲩⲉ	N	ⲅⲣⲁⲫⲟⲟⲩⲉ
ⲅⲣⲏⲅⲟⲣⲓⲟⲥ	NPROP	ⲅⲣⲏⲅⲟⲣⲓⲟⲥ
ⲅⲣⲩⲡⲁⲍⲉ	V	ⲅⲣⲩⲡⲁⲍⲉ
ⲅⲩⲙⲛⲁⲍⲉ	V	ⲅⲩⲙⲛⲁⲍⲉ
ⲅⲩⲙⲛⲁⲥⲓⲁ	N	ⲅⲩⲙⲛⲁⲥⲓⲁ
ⲅⲱ	N	ⲁⲕⲱ
ⲇ	NUM	ⲇ
ⲇⲁⲑⲁⲛ	NPROP	ⲇⲁⲑⲁⲛ
ⲇⲁⲓⲙⲟⲛⲓⲍⲉ	V	ⲇⲁⲓⲙⲟⲛⲓⲍⲉ
ⲇⲁⲓⲙⲟⲛⲓⲟⲛ	N	ⲇⲁⲓⲙⲟⲛⲓⲟⲛ
ⲇⲁⲓⲙⲱⲛ	N	ⲇⲁⲓⲙⲱⲛ
ⲇⲁⲓⲙⲱⲛⲓⲟⲛ	N	ⲇⲁⲓⲙⲱⲛⲓⲟⲛ
ⲇⲁⲗⲙⲁⲛⲟⲩⲑⲁ	NPROP	ⲇⲁⲗⲙⲁⲛⲟⲩⲑⲁ
ⲇⲁⲛⲓⲏⲗ	NPROP	ⲇⲁⲛⲓⲏⲗ
ⲇⲁⲛⲓⲥⲧⲏⲥ	N	ⲇⲁⲛⲓⲥⲧⲏⲥ
ⲇⲁⲡⲁⲛⲏ	N	ⲇⲁⲡⲁⲛⲏ
ⲇⲁⲩⲉⲓⲇ	NPROP	ⲇⲁⲩⲉⲓⲇ
ⲇⲁⲩⲓⲇ	NPROP	ⲇⲁⲩⲓⲇ
ⲇⲉ	PTC	ⲇⲉ
ⲇⲉⲃⲃⲱⲣⲁ	NPROP	ⲇⲉⲃⲃⲱⲣⲁ
ⲇⲉⲓⲡⲛⲟⲛ	N	ⲇⲉⲓⲡⲛⲟⲛ
ⲇⲉⲓⲡⲛⲟⲛ	V	ⲇⲉⲓⲡⲛⲟⲛ
ⲇⲉⲕⲁⲛⲟⲥ	N	ⲇⲉⲕⲁⲛⲟⲥ
ⲇⲉⲕⲁⲡⲟⲗⲓⲥ	N	ⲇⲉⲕⲁⲡⲟⲗⲓⲥ
ⲇⲉⲕⲁⲥ	N	ⲇⲉⲕⲁⲥ
ⲇⲉⲙⲱⲛ	N	ⲇⲉⲙⲱⲛ
ⲇⲉⲥⲡⲟⲧⲉⲓⲁ	N	ⲇⲉⲥⲡⲟⲧⲉⲓⲁ
ⲇⲉⲥⲡⲟⲧⲏⲥ	N	ⲇⲉⲥⲡⲟⲧⲏⲥ
ⲇⲉⲥⲡⲱⲧⲁ	N	ⲇⲉⲥⲡⲱⲧⲁ
ⲇⲉⲩⲧⲉⲣⲁ	N	ⲇⲉⲩⲧⲉⲣⲁ
ⲇⲉⲩⲧⲉⲣⲁⲥ	FM	ⲇⲉⲩⲧⲉⲣⲁⲥ
ⲇⲉⲩⲧⲉⲣⲟⲛ	ADV	ⲇⲉⲩⲧⲉⲣⲟⲛ
ⲇⲏ	PTC	ⲇⲏ
ⲇⲏⲗⲟⲩ	V	ⲇⲏⲗⲟⲩ
ⲇⲏⲙⲏⲧⲣⲓⲟⲥ	NPROP	ⲇⲏⲙⲏⲧⲣⲓⲟⲥ
ⲇⲏⲙⲓⲟⲥ	N	ⲇⲏⲙⲓⲟⲥ
ⲇⲏⲙⲓⲟⲩⲣⲅⲟⲥ	N	ⲇⲏⲙⲓⲟⲩⲣⲅⲟⲥ
ⲇⲏⲙⲟⲥ	N	ⲇⲏⲙⲟⲥ
ⲇⲏⲙⲟⲥⲓⲁ	N	ⲇⲏⲙⲟⲥⲓⲁ
ⲇⲏⲙⲟⲥⲓⲟⲛ	N	ⲇⲏⲙⲟⲥⲓⲟⲛ
ⲇⲏⲛⲁⲣⲓⲟⲛ	N	ⲇⲏⲛⲁⲣⲓⲟⲛ
ⲇⲓⲁⲃⲁⲗⲗⲉ	V	ⲇⲓⲁⲃⲁⲗⲗⲉ
ⲇⲓⲁⲃⲟⲗⲏ	N	ⲇⲓⲁⲃⲟⲗⲏ
ⲇⲓⲁⲃⲟⲗⲓⲕⲟⲛ	N	ⲇⲓⲁⲃⲟⲗⲓⲕⲟⲛ
ⲇⲓⲁⲃⲟⲗⲟⲥ	N	ⲇⲓⲁⲃⲟⲗⲟⲥ
ⲇⲓⲁⲃⲟⲗⲟⲥ	NPROP	ⲇⲓⲁⲃⲟⲗⲟⲥ
ⲇⲓⲁⲅⲣⲁⲫⲟⲛ	N	ⲇⲓⲁⲅⲣⲁⲫⲟⲛ
ⲇⲓⲁⲅⲱⲅⲏ	N	ⲇⲓⲁⲅⲱⲅⲏ
ⲇⲓⲁⲑⲉⲥⲓⲥ	N	ⲇⲓⲁⲑⲉⲥⲓⲥ
ⲇⲓⲁⲑⲏⲕⲏ	N	ⲇⲓⲁⲑⲏⲕⲏ
ⲇⲓⲁⲓⲣⲉⲥⲓⲥ	N	ⲇⲓⲁⲓⲣⲉⲥⲓⲥ
ⲇⲓⲁⲕⲟⲛⲉⲓ	V	ⲇⲓⲁⲕⲟⲛⲉⲓ
ⲇⲓⲁⲕⲟⲛⲓ	V	ⲇⲓⲁⲕⲟⲛⲉⲓ
ⲇⲓⲁⲕⲟⲛⲓⲁ	N	ⲇⲓⲁⲕⲟⲛⲓⲁ
ⲇⲓⲁⲕⲟⲛⲟⲥ	N	ⲇⲓⲁⲕⲟⲛⲟⲥ
ⲇⲓⲁⲕⲣⲓⲛⲉ	V	ⲇⲓⲁⲕⲣⲓⲛⲉ
ⲇⲓⲁⲕⲣⲓⲥⲓⲥ	N	ⲇⲓⲁⲕⲣⲓⲥⲓⲥ
ⲇⲓⲁⲕⲱⲛ	N	ⲇⲓⲁⲕⲱⲛ
ⲇⲓⲁⲗⲟⲅⲟⲥ	N	ⲇⲓⲁⲗⲟⲅⲟⲥ
ⲇⲓⲁⲙⲟⲛⲏ	N	ⲇⲓⲁⲙⲟⲛⲏ
ⲇⲓⲁⲛⲟⲓⲁ	N	ⲇⲓⲁⲛⲟⲓⲁ
ⲇⲓⲁⲛⲟⲓⲥⲓⲥ	N	ⲇⲓⲁⲛⲟⲓⲥⲓⲥ
ⲇⲓⲁⲡⲉⲣⲁ	V	ⲇⲓⲁⲡⲉⲣⲁ
ⲇⲓⲁⲥⲡⲟⲣⲁ	N	ⲇⲓⲁⲥⲡⲟⲣⲁ
ⲇⲓⲁⲥⲧⲁⲗⲙⲟⲥ	N	ⲇⲓⲁⲥⲧⲁⲗⲙⲟⲥ
ⲇⲓⲁⲥⲧⲣⲟⲫⲏ	N	ⲇⲓⲁⲥⲧⲣⲟⲫⲏ
ⲇⲓⲁⲥⲱⲥⲟⲩ	V	ⲇⲓⲁⲥⲱⲥⲟⲩ
ⲇⲓⲁⲧⲁⲅⲏ	N	ⲇⲓⲁⲧⲁⲅⲏ
ⲇⲓⲁⲧⲁⲅⲙⲁ	N	ⲇⲓⲁⲧⲁⲅⲙⲁ
ⲇⲓⲁⲧⲁⲥⲥⲉ	V	ⲇⲓⲁⲧⲁⲥⲥⲉ
ⲇⲓⲁⲧⲉⲗⲉⲓ	V	ⲇⲓⲁⲧⲉⲗⲉⲓ
ⲇⲓⲁⲧⲟⲭⲟⲥ	N	ⲇⲓⲁⲧⲟⲭⲟⲥ
ⲇⲓⲁⲧⲣⲓⲃⲉ	V	ⲇⲓⲁⲧⲣⲓⲃⲉ
ⲇⲓⲁⲫⲟⲣⲁ	N	ⲇⲓⲁⲫⲟⲣⲁ
ⲇⲓⲁⲯⲁⲗⲙⲁ	N	ⲇⲓⲁⲯⲁⲗⲙⲁ
ⲇⲓⲇⲁⲥⲕⲁⲗⲓⲁ	N	ⲇⲓⲇⲁⲥⲕⲁⲗⲓⲁ
ⲇⲓⲇⲓⲡⲗⲁ	N	ⲇⲓⲇⲓⲡⲗⲁ
ⲇⲓⲇⲣⲁⲭⲙⲟⲛ	N	ⲇⲓⲇⲣⲁⲭⲙⲟⲛ
ⲇⲓⲏⲅⲏⲙⲁ	N	ⲇⲓⲏⲅⲏⲙⲁ
ⲇⲓⲏⲕⲏⲥⲓⲥ	N	ⲇⲓⲏⲕⲏⲥⲓⲥ
ⲇⲓⲕⲁⲍⲉ	V	ⲇⲓⲕⲁⲍⲉ
ⲇⲓⲕⲁⲓⲟⲗⲟⲅⲓⲁ	N	ⲇⲓⲕⲁⲓⲟⲗⲟⲅⲓⲁ
ⲇⲓⲕⲁⲓⲟⲛ	N	ⲇⲓⲕⲁⲓⲟⲛ
ⲇⲓⲕⲁⲓⲟⲥ	N	ⲇⲓⲕⲁⲓⲟⲥ
ⲇⲓⲕⲁⲓⲟⲥⲩⲛⲏ	N	ⲇⲓⲕⲁⲓⲟⲥⲩⲛⲏ
ⲇⲓⲕⲁⲓⲱⲙⲁ	N	ⲇⲓⲕⲁⲓⲱⲙⲁ
ⲇⲓⲕⲁⲓⲱⲥ	ADV	ⲇⲓⲕⲁⲓⲱⲥ
ⲇⲓⲕⲁⲥⲧⲏⲣⲓⲟⲛ	N	ⲇⲓⲕⲁⲥⲧⲏⲣⲓⲟⲛ
ⲇⲓⲕⲁⲥⲧⲏⲥ	N	ⲇⲓⲕⲁⲥⲧⲏⲥ
ⲇⲓⲕⲏ	N	ⲇⲓⲕⲏ
ⲇⲓⲙⲓⲟⲩⲣⲅⲓⲁ	N	ⲇⲓⲙⲓⲟⲩⲣⲅⲓⲁ
ⲇⲓⲙⲱⲣⲓⲧⲏⲥ	N	ⲇⲓⲙⲱⲣⲓⲧⲏⲥ
ⲇⲓⲛⲁ	N	ⲇⲓⲛⲁ
ⲇⲓⲟⲓⲕⲉⲓ	V	ⲇⲓⲟⲓⲕⲉⲓ
ⲇⲓⲟⲓⲕⲏ	V	ⲇⲓⲟⲓⲕⲏ
ⲇⲓⲟⲓⲕⲏⲥⲓⲥ	N	ⲇⲓⲟⲓⲕⲏⲥⲓⲥ
ⲇⲓⲟⲓⲕⲏⲧⲏⲥ	N	ⲇⲓⲟⲓⲕⲏⲧⲏⲥ
ⲇⲓⲟⲕⲗⲏϯⲁⲛⲟⲥ	NPROP	ⲇⲓⲟⲕⲗⲏϯⲁⲛⲟⲥ
ⲇⲓⲟⲕⲗⲏⲧⲓⲁⲛⲟⲥ	NPROP	ⲇⲓⲟⲕⲗⲏⲧⲓⲁⲛⲟⲥ
ⲇⲓⲟⲥⲙⲏ	N	ⲇⲓⲟⲥⲙⲏ
ⲇⲓⲡⲗⲁ	N	ⲇⲓⲡⲗⲁ
ⲇⲓⲡⲛⲟⲛ	N	ⲇⲓⲡⲛⲟⲛ
ⲇⲓⲥⲧⲁⲍⲉ	V	ⲇⲓⲥⲧⲁⲍⲉ
ⲇⲓⲥⲧⲓⲭⲟⲛ	N	ⲇⲓⲥⲧⲓⲭⲟⲛ
ⲇⲓⲧⲁⲥⲅⲁⲗⲟⲥ	N	ⲇⲓⲧⲁⲥⲅⲁⲗⲟⲥ
ⲇⲓⲱⲅⲙⲟⲥ	N	ⲇⲓⲱⲅⲙⲟⲥ
ⲇⲓⲱⲕⲉ	V	ⲇⲓⲱⲕⲉ
ⲇⲓⲱⲕⲉⲓ	V	ⲇⲓⲱⲕⲉⲓ
ⲇⲓⲱⲕⲧⲏⲥ	N	ⲇⲓⲱⲕⲧⲏⲥ
ⲇⲟϭⲓ	V	ⲇⲟϭⲓ
ⲇⲟϭⲓⲙⲁⲥⲧⲏⲥ	N	ⲇⲟϭⲓⲙⲁⲥⲧⲏⲥ
ⲇⲟⲅⲙⲁ	N	ⲇⲟⲅⲙⲁ
ⲇⲟⲅⲙⲁⲧⲓⲍⲉ	V	ⲇⲟⲅⲙⲁⲧⲓⲍⲉ
ⲇⲟⲕⲉⲓ	V	ⲇⲟⲕⲉⲓ
ⲇⲟⲕⲓⲙⲁⲍⲉ	V	ⲇⲟⲕⲓⲙⲁⲍⲉ
ⲇⲟⲕⲓⲙⲏ	N	ⲇⲟⲕⲓⲙⲏ
ⲇⲟⲕⲓⲙⲟⲛ	N	ⲇⲟⲕⲓⲙⲟⲛ
ⲇⲟⲕⲓⲙⲟⲥ	N	ⲇⲟⲕⲓⲙⲟⲥ
ⲇⲟⲗⲟⲥ	N	ⲇⲟⲗⲟⲥ
ⲇⲟⲝⲟⲅⲉⲛⲏⲥ	N	ⲇⲟⲝⲟⲅⲉⲛⲏⲥ
ⲇⲟⲝⲟⲅⲉⲛⲓⲁ	N	ⲇⲟⲝⲟⲅⲉⲛⲓⲁ
ⲇⲟⲝⲟⲕⲣⲁⲧⲓⲁ	N	ⲇⲟⲝⲟⲕⲣⲁⲧⲓⲁ
ⲇⲟⲝⲟⲕⲣⲁⲧⲱⲣ	N	ⲇⲟⲝⲟⲕⲣⲁⲧⲱⲣ
ⲇⲟⲝⲟⲗⲟⲅⲓⲁ	N	ⲇⲟⲝⲟⲗⲟⲅⲓⲁ
ⲇⲟⲝⲟⲛ	N	ⲇⲟⲝⲟⲛ
ⲇⲟⲝⲟⲫⲁⲛⲏⲥ	N	ⲇⲟⲝⲟⲫⲁⲛⲏⲥ
ⲇⲟⲝⲟⲫⲁⲛⲓⲁ	N	ⲇⲟⲝⲟⲫⲁⲛⲓⲁ
ⲇⲟⲣⲕⲁⲥ	N	ⲇⲟⲣⲕⲁⲥ
ⲇⲟⲩⲗⲟⲥ	NPROP	ⲇⲟⲩⲗⲟⲥ
ⲇⲟⲩⲝ	N	ⲇⲟⲩⲝ
ⲇⲣⲁⲕⲱⲛ	N	ⲇⲣⲁⲕⲱⲛ
ⲇⲣⲓⲙⲙⲁ	N	ⲇⲣⲓⲙⲙⲁ
ⲇⲣⲟⲙⲉⲩⲥ	N	ⲇⲣⲟⲙⲉⲩⲥ
ⲇⲣⲟⲙⲟⲥ	N	ⲇⲣⲟⲙⲟⲥ
ⲇⲣⲩⲙⲟⲥ	N	ⲇⲣⲩⲙⲟⲥ
ⲇⲩⲁⲥ	N	ⲇⲩⲁⲥ
ⲇⲩⲙⲟⲧⲏⲥ	N	ⲇⲩⲙⲟⲧⲏⲥ
ⲇⲩⲛⲁⲙⲓⲥ	N	ⲇⲩⲛⲁⲙⲓⲥ
ⲇⲩⲛⲁⲥⲧⲏⲥ	N	ⲇⲩⲛⲁⲥⲧⲏⲥ
ⲇⲩⲛⲁⲧⲟⲥ	N	ⲇⲩⲛⲁⲧⲟⲥ
ⲇⲩⲣⲁⲛⲛⲉⲩⲉ	V	ⲇⲩⲣⲁⲛⲛⲉⲩⲉ
ⲇⲩⲣⲁⲛⲛⲟⲥ	N	ⲇⲩⲣⲁⲛⲛⲟⲥ
ⲇⲩⲥⲕⲟⲗⲟⲛ	N	ⲇⲩⲥⲕⲟⲗⲟⲛ
ⲇⲱⲇⲉⲕⲁⲥ	N	ⲇⲱⲇⲉⲕⲁⲥ
ⲇⲱⲣⲉⲁ	N	ⲇⲱⲣⲉⲁ
ⲇⲱⲣⲉⲁⲥϯⲕⲟⲛ	N	ⲇⲱⲣⲉⲁⲥϯⲕⲟⲛ
ⲇⲱⲣⲓⲁ	N	ⲇⲱⲣⲓⲁ
ⲇⲱⲣⲓⲍⲉ	V	ⲇⲱⲣⲓⲍⲉ
ⲇⲱⲣⲟⲛ	N	ⲇⲱⲣⲟⲛ
ⲉ	CCIRC	ⲉⲣⲉ
ⲉ	PREP	ⲉ
ⲉ	PPERO	ⲛⲑⲟ
#ⲉϣ	V	ⲓϣⲓ
ⲉϣ	V	ⲱϣ
ⲉϣⲁⲩ	N	ⲉϣⲱ
ⲉϣⲟ	N	ⲉϣⲟ
ⲉϣⲟϯ	N	ϣⲱⲧ
ⲉϣⲟⲩ	N	ⲉϭⲟⲩ
ⲉϣⲱ	N	ⲉϣⲱ
ⲉϣⲱⲡ	CONJ	ⲉϣⲱⲡ
ⲉϣⲱⲧ	N	ϣⲱⲧ
ⲉϥ	V	ⲱϥⲓ
ⲉϥⲣⲁⲥⲟⲩ	N	ⲉϥⲣⲁⲥⲟⲩ
ⲉϧⲟⲩⲛ	ADV	ⲉϧⲟⲩⲛ
ⲉϧⲟⲩⲛ	N	ⲉϧⲟⲩⲛ
ⲉϧⲣⲏⲓ	ADV	ⲉϧⲣⲏⲓ
